,nombre_artista,bio,listeners,playcount,similar
1002,Endah N Rhesa,"Endah N Rhesa is a musical project comprising acoustic guitar, bass and vocal. The musical nuance that Endah N Rhesa tries to bring out is folk, jazz, blues, rock and roll, and ballads. Endah Widiastuti (vocal, guitar) and Rhesa Aditya (bass) met each other in a rock band in early 2003. Shortly after the two left the band in 2004, Endah went solo, just like the way it used to be before joining the rock band.

Endah recorded numerous songs of hers in an album entitled ”The New Beginning” <a href=""https://www.last.fm/music/Endah+N+Rhesa"">Read more on Last.fm</a>",30559,751747,"['The Trees & The Wild', 'Frau', 'Abdul & The Coffee Theory', 'Dialog Dini Hari', 'Ten 2 Five']"
1003,Shyam Marandi," <a href=""https://www.last.fm/music/Shyam+Marandi"">Read more on Last.fm</a>",10,66,['SONAMANI PRODUCTION']
1004,Cileno," <a href=""https://www.last.fm/music/Cileno"">Read more on Last.fm</a>",216,1495,"['Alaídenegão', 'Raízes Caboclas', 'Cabocrioulo', 'Eliana Printes', 'Johnny Jack Mesclado']"
1005,Shilpi Raj," <a href=""https://www.last.fm/music/Shilpi+Raj"">Read more on Last.fm</a>",1465,13482,"['Neelkamal Singh', 'Samar Singh', 'Khesari Lal Yadav', 'Ankush Raja', 'Rakesh Mishra']"
1006,E'eark Peeranat," <a href=""https://www.last.fm/music/E%27eark+Peeranat"">Read more on Last.fm</a>",7,10,[]
1007,Vinu Gaur," <a href=""https://www.last.fm/music/Vinu+Gaur"">Read more on Last.fm</a>",564,1987,"['Dev Kumar Deva', 'Sandeep Surila', 'SURENDER ROMIO', 'Gajender Phogat', 'Ajay Hooda']"
1008,Andimon," <a href=""https://www.last.fm/music/Andimon"">Read more on Last.fm</a>",2,6,[]
1009,Plastik Funk,"Plastik Funk is a music duo consisting of German-Spaniard  Rafael Ximenez-Carrillo and Japanese Mikio Gruschinske. 

Plastik Funk were formed in 2002 while Ximenez-Carrillo and Gruschinke were at high school. Ximenez-Carrillo was born in Madrid but emigrated to Grevenbroich, Nordrhein-Westfalen, whereas Gruschinke spent the former part of his life in Tokyo before settling in Berlin. They began DJing hip-hop at high school but after hearing the works of Frankie Knuckles and David Morales, switched to house. <a href=""https://www.last.fm/music/Plastik+Funk"">Read more on Last.fm</a>",80941,373009,"['Curbi', 'Laidback Luke', 'Tujamo', 'Mike Williams', 'Hardwell']"
1010,Tony Curtis,"Born in September of 1971 in St. Catherine, Jamaica, Curtis knew that music was his mission from early on, even if he never envisioned it as a career. Young Curtis O'Brien would go to church, approaching the mic anytime the opportunity presented itself. Laughing, Curtis fondly recalls his early days singing in the church.

The young singer began to enter local talent shows, mashing up the place with classic cover tunes. From talent shows to the local studios, Curtis began to voice a few dubplates for the local club and some small sounds. <a href=""https://www.last.fm/music/Tony+Curtis"">Read more on Last.fm</a>",24512,112691,"['Singing Melody', 'Mikey Spice', 'George Nooks', 'Kashief Lindo', 'Thriller U']"
1011,Área Restrita,"Cinco amigos e um sonho em comum: espalhar alegria fazendo aquilo que mais gostavam: música. Foi com esse intúito que Lucas Falaschi (Vocal), Vinícius Bancke (Guitarra), Rafael Mendez (Guitarra), Tiago Medeiros (Baixo) e Tobias Mazzotti (Bateria) resolveram se juntar para compor a banda Área Restrita. Gaúchos de Porto Alegre, a banda surgiu em 2003, com guitarras pesadas e um instrumental diferenciado. A sinceridade na temática das letras também é destaque <a href=""https://www.last.fm/music/+noredirect/%C3%81rea+restrita"">Read more on Last.fm</a>",2623,68830,"['Plug3', 'Under Line', 'Catch Side', 'Delittus', 'Replace']"
1012,Models,"There are at least three bands called Models. At least seven others bands are called The Models, but only the ones actually called Models are listed here. Please distinguish and scrobble accordingly.

The three bands called Models, without the article 'The', are: 1. an Australian rock group from Melbourne, 2. a short-lived punk band from London, United Kingdom and 3. a pop band from Serbia.

1. Models were an alternative rock group formed in Melbourne, Australia, formed in August 1978. <a href=""https://www.last.fm/music/Models"">Read more on Last.fm</a>",26821,226733,"['Australian Crawl', 'Mental As Anything', 'Hunters & Collectors', 'Boom Crash Opera', 'Noiseworks']"
1013,Base Jam,"Base Jam adalah grup band anak muda yang terbentuk pada 15 Januari 1994 di Bandung, Indonesia. Formasi Personel mereka semula terdiri atas Bambang Sutanto (BS, Drum), Adon Saptowo (Adon, Vokal), Sigit Wardana (Sigit, Vokal), Adnil Farsal (Adnil, Gitar), Ardi Isnandar (Aris - Gitar) dan dua personel wanita, Intan Putri Werdiniadi (Anya, Keyboard) dan Ardhini Citrasari (Sita, Bas).

Berawal dari kumpul-kumpul dan nge-jam, kemudian membentuk grup band ini, sekaligus membuat nama Base Jam. <a href=""https://www.last.fm/music/Base+Jam"">Read more on Last.fm</a>",9752,115832,"['Java Jive', 'TIC Band', 'Wayang', 'KLa Project', 'Iwa K']"
1014,Plastiko,"PLÁSTIKO sale al mercado con un nuevo estilo innovador. Esta nueva propuesta surge de la música de los setentas, del funk mezclado con algo de swing, ska, reggae y jazz. PLÁSTIKO es una banda completamente innovadora con una propuesta de diversión total. La banda se forma en febrero del '98, cuando sus integrantes se juntan para hacer música funk, esta fue la primer alineación. Después de unos meses en el concurso BIG BREAK (Guadalajara, 1998) <a href=""https://www.last.fm/music/Plastiko"">Read more on Last.fm</a>",17908,218783,"['los afro brothers', 'La Celestina', 'Vaquero', 'Golden Ganga', 'Radio Kaos']"
1015,Cigarro Mata," <a href=""https://www.last.fm/music/Cigarro+mata"">Read more on Last.fm</a>",178,2278,"['Coágula', 'Oversong', 'Indigans', 'Sabonetes', 'Submerso']"
1016,Circle of Sighs," <a href=""https://www.last.fm/music/Circle+of+Sighs"">Read more on Last.fm</a>",870,7724,"['King Goat', 'Forlesen', 'Eremit', 'King Witch', 'Hellish Form']"
1017,Honeybender,"Honeybender is a math rock band from Portland, Oregon

https://honeybender.bandcamp.com/ <a href=""https://www.last.fm/music/Honeybender"">Read more on Last.fm</a>",537,6462,"['KaGuu', 'Elders', 'Dialects', 'sawce', 'Things Amazing']"
1018,Mixtaped Monk," <a href=""https://www.last.fm/music/Mixtaped+Monk"">Read more on Last.fm</a>",188,1300,"['In Fallow', 'A Blur Within', 'The Black Garden Circus', 'Land of Fires', 'Coloring Outside the Lines']"
1019,Karhide,"

Karhide, AKA Tim Waterfield, has been programming beats for as long as DJ Shadow – but where Josh Davis came from a background of hip hop culture and breakbeats, Tim’s electronic upbringing in the East Midlands was through the industrial-strength beats of Godflesh and Frontline Assembly. Cutting his teeth in the now-legendary ‘Big Black-but-one-louder’ Nottingham duo Ann Arbor, Tim has been refining and distilling a long lineage of electronica and guitar music for more than a decade <a href=""https://www.last.fm/music/Karhide"">Read more on Last.fm</a>",1093,11619,"['Listing Ships', 'Monsters Build Mean Robots', 'Alright The Captain', 'A Hundred Black Kites', 'Upcdownc']"
1020,Adrian Donsome Hanson," <a href=""https://www.last.fm/music/Adrian+Donsome+Hanson"">Read more on Last.fm</a>",659,2155,"['Agent Sasco (Assassin)', 'Ilements', 'chino mcgregor', ""Ce'cile"", 'Chi Ching Ching']"
1021,Phazer,"It was the year of 2004 when the rock band PhaZer was born. The Lisbon based band identifies itself mainly within the Rock genre, but without limit themselves to any kind of musical genre and seeking out and combining alternative sound styles. PhaZer present their first songs to the public at the Lisbon Rock circuit in 2005. After this mini-tour entitled ""Beta-Tour"", they enter at the Namoche studios to record their first EP.

In 2006, their debut <a href=""https://www.last.fm/music/Phazer"">Read more on Last.fm</a>",3064,14994,"['Nocreeps', 'Miss Lava', 'Vitne', 'DreamKeeper', 'Fallen to Flux']"
1022,Oreana,"post-rock solo project in philly. <a href=""https://www.last.fm/music/Oreana"">Read more on Last.fm</a>",1848,8406,"['Thought Trials', 'At The Grove', 'Aman Bahuguna', 'After-Math', 'Ever Onward']"
1023,Mineiros da Lua," <a href=""https://www.last.fm/music/Mineiros+da+Lua"">Read more on Last.fm</a>",1464,16779,"['Teach Me Tiger', 'Applegate', 'glote', 'Ema Stoned', 'Miêta']"
1024,Kazuyoshi Saito,"斉藤和義 [Saito Kazuyoshi] is a Japanese musician who has been active since the early 90s. He possesses a wide range of musical talent, as he writes, arranges, and produces the majority of his own material, while also playing all of the musical instruments in his recordings. Among his own fans, he is popular for his live performances, and holds shows on a regular basis; he has done several small-scale tours, such as clubhouse tours, as well as large-scale Budokan concerts. <a href=""https://www.last.fm/music/+noredirect/Kazuyoshi+Saito"">Read more on Last.fm</a>",8722,63000,[]
1025,Aquarius Oficial," <a href=""https://www.last.fm/music/Aquarius+Oficial"">Read more on Last.fm</a>",18,412,"['Bruno Misso', 'Profusão Sonora', 'The Atomic Drive', 'Mistura De Rock', 'Alfredo & os Caras']"
1026,La Santeria," <a href=""https://www.last.fm/music/La+Santeria"">Read more on Last.fm</a>",13,23,[]
1027,Landau,"Formed in 1998, Landau was originally a union of four songwriter/ producers geared towards writing melodic electronic music. Their earliest influences included the 1990's Warp Scene, trip hop, drum & bass and western art music.The groups underlying goal and aesthetic has always been the seamless blend of acoustic and electronic sound. Landau's sound has often been compared to Plaid, Autechre, The Cinematic Orchestra, and Matmos amongst others.

After releasing a series of offerings on Labels in England <a href=""https://www.last.fm/music/Landau"">Read more on Last.fm</a>",31271,268302,"['Tim Koch', 'Esem', 'Proswell', 'Syndrone', 'Multiplex']"
1028,The Black Underground," <a href=""https://www.last.fm/music/The+Black+Underground"">Read more on Last.fm</a>",193,2257,"['Billy Carter', '3호선 버터플라이', 'Lowdown 30', '산울림', '이적']"
